CID,isosmiles
1,CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
137,C(CC(=O)O)C(=O)CN
174,C(CO)O
176,CC(=O)O
187,CC(=O)OCC[N+](C)(C)C
237,CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC
244,C1=CC=C(C=C1)CO
247,C[N+](C)(C)CC(=O)[O-]
280,C(=O)=O
281,[C-]#[O+]
311,C(C(=O)O)C(CC(=O)O)(C(=O)O)O
313,Cl
338,C1=CC=C(C(=C1)C(=O)O)O
359,C1=C(C=C(C=C1O)O)O
444,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C
454,CCCCCCCC=O
546,C(C(=O)O)P(=O)(O)O
564,C(CCC(=O)O)CCN
612,CC(C(=O)O)O
679,CS(=O)C
681,C1=CC(=C(C=C1CCN)O)O
702,CCO
718,C(C1C(C(C(O1)(COP(=O)(O)O)O)O)O)OP(=O)(O)O
727,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl
750,C(C(=O)O)N
753,C(C(CO)O)O
772,CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O
784,OO
785,C1=CC(=CC=C1O)O
807,II
864,C1CSSC1CCCCC(=O)O
876,CSCCC(C(=O)O)N
892,C1(C(C(C(C(C1O)O)O)O)O)O
896,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC
936,C1=CC(=CN=C1)C(=O)N
938,C1=CC(=CN=C1)C(=O)O
947,N#N
948,[N-]=[N+]=O
977,O=O
978,C1=CC(=CC=C1C(=O)O)N
996,C1=CC=C(C=C1)O
1031,CCCO
1046,C1=CN=C(C=N1)C(=O)N
1051,CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O
1054,CC1=NC=C(C(=C1O)CO)CO
1084,[O-]S(=O)(=S)[O-]
1130,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO
1176,C(=O)(N)N
1234,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C(=C2)OC)OC)OC
1292,C1=CC=C(C=C1)C(C(=O)O)O
1662,CC(CC(=O)O)(CC(=O)O)O
1684,CC1=CC(=CC(=C1OCCCC2=CC(=NO2)C)C)C3=NOC(=N3)C(F)(F)F
1727,C1=CN=CC=C1N
1775,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3
1923,C1=CC2=C(C(=C1)O)N=CC=C2
1935,C1CCC2=NC3=CC=CC=C3C(=C2C1)N
1978,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C
1979,CC(=O)OC1CN2CCC1CC2
1981,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OCC(=O)O
1983,CC(=O)NC1=CC=C(C=C1)O
1985,CC(=O)NC1=C(C=CC(=C1)[As](=O)(O)O)O
1986,CC(=O)NC1=NN=C(S1)S(=O)(=O)N
1989,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2
1990,CC(=O)NO
1993,CC(C[N+](C)(C)C)OC(=O)C
1995,CC(C)CC(C(=O)O)NC(=O)C
2081,CC(C(=O)OC(C)(C)CC1=CC=C(C=C1)Cl)N
2082,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
2083,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O
2088,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN
2091,CC(C)CCCC(C)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C
2092,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC
2097,CC(C1=CC=C(C=C1)NCC(=C)C)C(=O)O
2099,CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C
2118,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4
2119,CC(C)NCC(COC1=CC=CC=C1CC=C)O
2123,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C
2130,C1C2CC3CC1CC(C2)(C3)N
2131,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC2=CC=CC=C2Cl
2132,C1CC(CCC1NCC2=C(C(=CC(=C2)Br)Br)N)O
2140,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I
2141,C(CN)CNCCSP(=O)(O)O
2145,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N
2148,C1=CC(=CC=C1C(=O)NCC(=O)O)N
2153,CN1C2=C(C(=O)N(C1=O)C)NC=N2
2157,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I
2159,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC
2160,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31
2161,CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N
2162,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN
2164,CCC1(C(=O)NC(=O)NC1=O)CCC(C)C
2165,CCN(CC)CC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O
2170,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
2179,COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42
2187,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N
2194,COC1=CC=C(C=C1)C2=CC(=S)SS2
2196,COC1=CC=C(C=C1)C(=O)N2CCCC2=O
2200,C1CN=C(N1)CN(CC2=CC=CC=C2)C3=CC=CC=C3
2202,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O
2206,CC1=CC(=O)N(N1C)C2=CC=CC=C2
2216,C1CN=C(N1)NC2=C(C=C(C=C2Cl)N)Cl
2218,CCN(CC)CCCN(C1CC2=CC=CC=C2C1)C3=CC=CC=C3
2244,CC(=O)OC1=CC=CC=C1C(=O)O
2247,COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F
2249,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O
2265,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-]
2266,C(CCCC(=O)O)CCCC(=O)O
2267,CN1CCCC(CC1)N2C(=O)C3=CC=CC=C3C(=N2)CC4=CC=C(C=C4)Cl
2274,CC1C(C(=O)N1S(=O)(=O)O)NC(=O)C(=NOC(C)(C)C(=O)O)C2=CSC(=N2)N
2284,C1=CC(=CC=C1C(CC(=O)O)CN)Cl
2292,CCCCNCC(C1=CC=C(C=C1)O)O
2294,CCC1(C(=O)NC(=O)NC1=O)CC
2309,CC(C)NCC(COC1=CC=CC2=C1OC(=C2)C(=O)C)O
2310,CCC1(CC(=O)NC(=O)C1)C
2312,CN(C)CCCOC1(CCCCCC1)CC2=CC=CC=C2
2313,C1=CC=C(C=C1)CN2C3=CC=CC=C3C(=N2)OCC(=O)O
2315,C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2
2318,CC(CC1=CC(=CC=C1)C(F)(F)F)NCCOC(=O)C2=CC=CC=C2
2320,CC1=NC=C(C(=N1)N)CN(C=O)C(=C(CCOP(=O)(O)O)SC(=O)C2=CC=CC=C2)C
2326,CC(COC1=CC=CC=C1CC2=CC=CC=C2)N3CCCCC3
2330,CCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1
2333,CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)Br)O)Br
2335,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCC[N+](C)(C)CC2=CC=CC=C2
2337,CCOC(=O)C1=CC=C(C=C1)N
2345,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2
2351,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3
2352,CC#CCC(C)C(C=CC1C(CC2C1C3=CC=CC(=C3O2)CCCC(=O)O)O)O
2355,COC1=C2C=CC(=O)OC2=CC3=C1C=CO3
2366,CNCCC1=CC=CC=N1
2368,CNC(=NC)NCC1=CC=CC=C1
2369,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O
2370,CC(C[N+](C)(C)C)OC(=O)N
2372,CC1=CC(=CC=C1)OCC(CNCCC2=CC(=C(C=C2)OC)OC)O
2375,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O
2377,CNCCCCOC1=CC=CC=C1CC2=CC=CC=C2
2378,C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=CC=C3)N4C=CN=C4
2381,C1CCN(CC1)CCC(C2CC3CC2C=C3)(C4=CC=CC=C4)O
2391,CC(=O)OC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC(=O)C)C3=CC=CC=N3
2405,CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O
2406,C1=C(C=C(C(=C1SC2=C(C(=CC(=C2)Cl)Cl)O)O)Cl)Cl
2435,C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br
2441,C1C(=O)NC2=C(C=C(C=C2)Br)C(=N1)C3=CC=CC=N3
2442,CN(CC1=C(C(=CC(=C1)Br)Br)N)C2CCCCC2
2444,CN(C)CCOC(C1=CC=CC=C1)C2=CC=C(C=C2)Br
2446,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Br
2447,CC(C)C(C(=O)NC(=O)N)Br
2448,C1CN(CCC1(C2=CC=C(C=C2)Br)O)CCCC(=O)C3=CC=C(C=C3)F
2449,CC1=C(C(=O)C(=C(C1=O)C)C(CCCCCC(=O)O)C2=CC=CC=C2)C
2451,CC1=NN=C2N1C3=C(C=C(S3)Br)C(=NC2)C4=CC=CC=C4Cl
2453,C1=CC2=C(C(=C(C=C2Br)Br)O)N=C1
2466,CCCCOC1=CC=C(C=C1)CC(=O)NO
2467,COC1=CC(=C(C(=C1)OC)C(=O)CCCN2CCCC2)OC
2468,CCCCN=C(N)N=C(N)N
2471,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2
2474,CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C
2475,CC1=CC(=C(C=C1)Cl)OCC(CNC(C)(C)C)O
2477,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4
2478,CS(=O)(=O)OCCCCOS(=O)(=O)C
2484,CC(C)(C)C1=CC=C(C=C1)CN(C)CC2=CC=CC3=CC=CC=C32
2515,CCN(CC(C)O)C1=NN=C(C=C1)NNC(=O)OCC
2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
2520,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
2528,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)N(C)C(=O)C)I
2536,CN(C)C(=O)COC(=O)CC1=CC=C(C=C1)OC(=O)C2=CC=C(C=C2)N=C(N)N
2541,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O
2554,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N
2557,CN1CC(C2=CC(=C(C=C21)O)N=NC(=O)N)O
2562,CCN(CC)CCOCCOC(=O)C1(CCCC1)C2=CC=CC=C2
2564,CN(C)CCOC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2
2569,CC1=C(C(=O)C(=C(C1=O)N2CC2)C(COC(=O)N)OC)N3CC3
2576,CCCC(C)(COC(=O)N)COC(=O)NC(C)C
2577,CCCCCCNC(=O)N1C=C(C(=O)NC1=O)F
2578,C(CCl)NC(=O)N(CCCl)N=O
2583,CC(C)(C)NCC(COC1=CC=CC2=C1CCC(=O)N2)O
2585,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O
2622,C[N+]1(CCCC1)CC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)[O-]
2624,CN1C(=NN=N1)SCC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)O
2628,CC1=C(SC(=N1)SCC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)O)CC(=O)O
2632,CC(=O)OCC1=C(N2C(C(C2=O)NC(=O)C(=NOC)C3=CSC(=N3)N)SC1)C(=O)O
